"identifiant";"prenom";"nom";"region";"departement";"numero_circonscription";"profession";"groupe_politique_complet";"groupe_politique_abrege"
"721336";"Blandine";"Brocard";"Auvergne-Rhéne-Alpes";"Rhéne";"5";"Employée (secteur privé)";"Les Démocrates";"Dem"
"794598";"Laurent";"Jacobelli";"Grand Est";"Moselle";"8";"Profession de l'information, des arts et des spectacles";"Rassemblement National";"RN"
"795422";"Damien";"Maudet";"Nouvelle-Aquitaine";"Haute-Vienne";"1";"Cadre administratif et commercial d'entreprise";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"719922";"Lionel";"Causse";"Nouvelle-Aquitaine";"Landes";"2";"Autre cadre (secteur privé)";"Ensemble pour la République";"EPR"
"721110";"Nicole";"Sanquer";"Polynésie franéaise";"Polynésie Franéaise";"2";"Professeur du secondaire et technique";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"793166";"Jocelyn";"Dessigny";"Hauts-de-France";"Aisne";"5";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"795908";"Yannick";"Chenevard";"Provence-Alpes-Céte d'Azur";"Var";"1";"Profession libérale";"Ensemble pour la République";"EPR"
"841621";"Auguste";"Evrard";"Hauts-de-France";"Pas-de-Calais";"8";"Collaborateur de cabinet en mairie";"Rassemblement National";"RN"
"793270";"Jean-Franéois";"Rousset";"Occitanie";"Aveyron";"3";"Chirurgien";"Ensemble pour la République";"EPR"
"720992";"Jiovanny";"William";"Martinique";"Martinique";"1";"Profession libérale";"Socialistes et apparentés";"SOC"
"720480";"Charlotte";"Parmentier-Lecocq";"Hauts-de-France";"Nord";"6";"Industriel-Chef d'entreprise";"Horizons & Indépendants";"HOR"
"606793";"Laurent";"Baumel";"Centre-Val de Loire";"Indre-et-Loire";"4";"Cadre supérieur du secteur public";"Socialistes et apparentés";"SOC"
"842155";"Aly";"Diouara";"Ile-de-France";"Seine-Saint-Denis";"5";"(33) - Cadre de la fonction publique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
